_time,customer_id,country,lat,lon,category,product,units,unit_price,revenue,channel,device,order_status,rating
2026-05-01 00:12:03,c9588,Germany,53.8658,11.5136,Home,Coffee Maker,4,24.4,97.6,Affiliate,Mobile,Completed,5
2026-05-01 01:21:59,c4114,Canada,56.1802,-106.6666,Home,Throw Blanket,1,172.79,172.79,Marketplace,Mobile,Completed,5
2026-05-01 01:31:31,c4890,Mexico,20.8591,-101.6902,Home,Cutting Board Set,4,144.43,577.72,Marketplace,Desktop,Completed,1
2026-05-01 01:34:30,c3161,United States,34.8354,-93.5641,Books,Business Guide,4,50.89,203.56,Marketplace,Desktop,Refunded,4
2026-05-01 04:35:56,c5126,Brazil,-13.0681,-49.2448,Sports,Tennis Racket,2,70.41,140.82,Mobile App,Mobile,Completed,5
2026-05-01 04:41:56,c5636,Germany,52.716,10.4311,Home,Coffee Maker,2,142.2,284.4,Affiliate,Tablet,Completed,5
2026-05-01 05:07:40,c3911,Australia,-27.5091,134.7022,Apparel,Graphic T-Shirt,4,98.02,392.08,Mobile App,Mobile,Completed,4
2026-05-01 05:22:50,c6636,Germany,50.1459,10.3663,Apparel,Graphic T-Shirt,2,118.05,236.1,Affiliate,Desktop,Completed,5
2026-05-01 06:05:36,c4014,Australia,-23.8871,133.1348,Electronics,Mechanical Keyboard,5,91.98,459.9,Affiliate,Desktop,Cancelled,3
2026-05-01 06:19:33,c1344,Canada,58.9749,-108.8485,Electronics,Mechanical Keyboard,4,118.17,472.68,Mobile App,Desktop,Completed,4
2026-05-01 06:34:20,c3332,Brazil,-17.0103,-50.4551,Sports,Dumbbell Set,2,149.97,299.94,Marketplace,Desktop,Pending,5
2026-05-01 07:07:27,c2006,Canada,56.0635,-107.7066,Electronics,Mechanical Keyboard,4,106.28,425.12,Web,Tablet,Completed,4
2026-05-01 07:29:46,c2922,Japan,35.3493,141.036,Home,Throw Blanket,2,14.22,28.44,Marketplace,Mobile,Completed,1
2026-05-01 07:41:04,c3060,Canada,57.3986,-108.099,Apparel,Baseball Cap,4,140.23,560.92,Affiliate,Tablet,Completed,4
2026-05-01 07:44:46,c4028,Japan,33.8098,139.4591,Sports,Yoga Mat,2,91.61,183.22,Web,Desktop,Cancelled,5
2026-05-01 08:08:51,c5907,Canada,55.6756,-108.061,Home,Coffee Maker,3,105.15,315.45,Web,Mobile,Completed,3
2026-05-01 08:13:16,c7648,Germany,48.312,8.2131,Home,Coffee Maker,4,70.02,280.08,Web,Mobile,Completed,5
2026-05-01 08:13:31,c6426,India,22.283,81.4639,Electronics,Bluetooth Speaker,2,117.19,234.38,Marketplace,Desktop,Completed,2
2026-05-01 08:15:31,c8331,Germany,52.1859,11.5235,Books,Business Guide,2,201.39,402.78,Web,Tablet,Completed,5
2026-05-01 09:41:16,c1430,Australia,-23.2391,135.5508,Books,Cookbook,4,14.93,59.72,Mobile App,Mobile,Refunded,5
2026-05-01 09:50:48,c9701,Australia,-26.7288,131.8721,Home,Throw Blanket,3,177.04,531.12,Affiliate,Mobile,Completed,5
2026-05-01 09:57:11,c3231,Canada,57.681,-103.5511,Apparel,Graphic T-Shirt,1,202.63,202.63,Mobile App,Mobile,Pending,1
2026-05-01 09:59:05,c4633,Japan,37.2106,138.7274,Books,Sci-Fi Anthology,5,56.59,282.95,Affiliate,Desktop,Completed,5
2026-05-01 10:11:01,c4209,United Kingdom,53.1659,-5.7785,Books,Sci-Fi Anthology,2,39.24,78.48,Marketplace,Mobile,Completed,1
2026-05-01 10:16:49,c4564,India,22.9579,80.9007,Books,Mystery Novel,4,204.68,818.72,Mobile App,Mobile,Completed,4
2026-05-01 10:28:24,c8387,India,21.473,81.9336,Apparel,Baseball Cap,5,28.38,141.9,Marketplace,Mobile,Completed,4
2026-05-01 10:51:39,c1453,United Kingdom,53.3911,-0.6584,Sports,Yoga Mat,3,89.57,268.71,Marketplace,Desktop,Cancelled,4
2026-05-01 11:06:23,c3965,South Africa,-31.9514,21.8244,Home,Desk Lamp,5,39.26,196.3,Mobile App,Desktop,Completed,2
2026-05-01 11:40:10,c6466,Australia,-28.2214,132.0039,Home,Cutting Board Set,1,185.76,185.76,Mobile App,Mobile,Completed,5
2026-05-01 11:47:41,c5296,Canada,57.6881,-107.9592,Beauty,Shampoo Bar,1,94.17,94.17,Affiliate,Mobile,Completed,2
2026-05-01 12:44:17,c4282,Singapore,-0.1274,100.9981,Electronics,Bluetooth Speaker,3,50.18,150.54,Affiliate,Desktop,Refunded,5
2026-05-01 12:44:41,c2930,Australia,-24.6802,134.0424,Home,Desk Lamp,1,130.53,130.53,Web,Mobile,Completed,5
2026-05-01 13:03:16,c4264,United States,35.9961,-97.6346,Books,Mystery Novel,3,156.71,470.13,Web,Tablet,Completed,2
2026-05-01 13:15:44,c5245,France,44.2634,2.8435,Books,Business Guide,3,151.6,454.8,Web,Desktop,Cancelled,4
2026-05-01 13:39:47,c2659,Canada,58.6345,-107.0069,Electronics,Smart Watch,3,85.13,255.39,Affiliate,Desktop,Refunded,5
2026-05-01 13:43:38,c5888,Canada,58.485,-104.2599,Electronics,Mechanical Keyboard,5,105.6,528.0,Marketplace,Desktop,Completed,3
2026-05-01 13:44:43,c1745,India,19.4884,78.297,Electronics,Bluetooth Speaker,5,21.41,107.05,Web,Mobile,Cancelled,2
