customer_id,billing_date,plan,amount_usd,payment_status,country,region
cust_0001,2026-06-01,Standard,13.99,Success,Nigeria,Africa
cust_0001,2026-07-01,Standard,11.99,Success,Nigeria,Africa
cust_0001,2026-08-01,Standard,13.99,Success,Nigeria,Africa
cust_0002,2026-06-01,Premium Plus,22.99,Success,South Africa,Africa
cust_0002,2026-07-01,Premium Plus,22.99,Success,South Africa,Africa
cust_0002,2026-08-01,Premium Plus,20.99,Success,South Africa,Africa
cust_0003,2026-06-01,Standard,13.99,Success,Japan,APAC
cust_0003,2026-07-01,Standard,13.99,Success,Japan,APAC
cust_0003,2026-08-01,Standard,13.99,Refunded,Japan,APAC
cust_0004,2026-06-01,Standard,13.99,Success,South Africa,Africa
cust_0004,2026-07-01,Standard,13.99,Success,South Africa,Africa
cust_0004,2026-08-01,Standard,13.99,Success,South Africa,Africa
cust_0005,2026-06-01,Premium,17.99,Success,Nigeria,Africa
cust_0005,2026-07-01,Premium,17.99,Success,Nigeria,Africa
cust_0005,2026-08-01,Premium,17.99,Success,Nigeria,Africa
cust_0006,2026-06-01,Standard,13.99,Success,France,Europe
cust_0006,2026-07-01,Standard,13.99,Success,France,Europe
cust_0006,2026-08-01,Standard,13.99,Success,France,Europe
cust_0007,2026-06-01,Basic,8.99,Success,Singapore,APAC
cust_0007,2026-07-01,Basic,8.99,Failed,Singapore,APAC
cust_0007,2026-08-01,Basic,8.99,Refunded,Singapore,APAC
cust_0008,2026-06-01,Premium Plus,22.99,Success,Brazil,LATAM
cust_0008,2026-07-01,Premium Plus,22.99,Success,Brazil,LATAM
cust_0008,2026-08-01,Premium Plus,22.99,Success,Brazil,LATAM
cust_0009,2026-06-01,Premium,17.99,Success,Singapore,APAC
cust_0009,2026-07-01,Premium,17.99,Success,Singapore,APAC
cust_0009,2026-08-01,Premium,17.99,Success,Singapore,APAC
cust_0010,2026-06-01,Standard,13.99,Success,Japan,APAC
cust_0010,2026-07-01,Standard,13.99,Success,Japan,APAC
cust_0010,2026-08-01,Standard,11.99,Success,Japan,APAC
cust_0011,2026-06-01,Premium Plus,22.99,Success,Brazil,LATAM
cust_0011,2026-07-01,Premium Plus,22.99,Success,Brazil,LATAM
cust_0011,2026-08-01,Premium Plus,20.99,Success,Brazil,LATAM
cust_0012,2026-06-01,Basic,8.99,Success,Germany,Europe
